sample	sample_id	unit	platform	library	flowcell	lane	fq1	fq2
s001	23N00549	1	ILLUMINA	Lib-L240036090	HY75HDSX2	L240036090	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/R_23N00549/R_23N00549_CKDL240036090-1A_22HNCJLT4_L7_1.fq.gz	NA
s002	23N00549	1	ILLUMINA	Lib-L240036090	HY75HDSX2	L240036090	NA	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/R_23N00549/R_23N00549_CKDL240036090-1A_22HNCJLT4_L7_2.fq.gz
s003	23N00461	1	ILLUMINA	Lib-L230023567	HY75HDSX2	L230023567	NA	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/Z23N00461/Z23N00461_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
s004	23N00461	1	ILLUMINA	Lib-L230023567	HY75HDSX2	L230023567	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/Z23N00461/Z23N00461_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	NA
s005	23N00451	1	ILLUMINA	Lib-L230023567	HY75HDSX2	L230023567	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/Z23N00451/Z23N00451_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	NA
s006	23N00451	1	ILLUMINA	Lib-L230023567	HY75HDSX2	L230023567	NA	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/Z23N00451/Z23N00451_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
s007	19N00142	1	ILLUMINA	Lib-L240036090	HY75HDSX2	L240036090	NA	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/R_19N00142/R_19N00142_CKDL240036090-1A_22HNCJLT4_L7_2.fq.gz
s008	19N00142	1	ILLUMINA	Lib-L240036090	HY75HDSX2	L240036090	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/R_19N00142/R_19N00142_CKDL240036090-1A_22HNCJLT4_L7_1.fq.gz	NA
s009	23N00506	1	ILLUMINA	Lib-L230023567	HY75HDSX2	L230023567	NA	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/Z23N00506/Z23N00506_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
s010	23N00506	1	ILLUMINA	Lib-L230023567	HY75HDSX2	L230023567	/scratch/alpine/ericacnr@colostate.edu/GCRF_Pub/01.fastq_processing/raw_data/01.RawData/Z23N00506/Z23N00506_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	NA
