BGP_ID,replicate,penn_length,penn_num,plum_length,plum_num,plum_nodes
19N00121,A,0.414,21,0.849,24,8
19N00121,B,0.357,20,0.748,26,7
19N00121,C,0.284,19,0.71,27,8
19N00122,A,0.37,27,0.872,32,8
19N00122,B,0.34,25,0.898,27,8
19N00122,C,0.415,24,0.957,31,7
19N00123,A,0.302,20,0.62,22,7
19N00123,B,0.299,23,0.789,20,7
19N00123,C,0.231,18,0.611,19,7
19N00124,A,0.356,20,0.867,31,8
19N00124,B,0.403,22,0.705,32,7
19N00124,C,0.417,21,0.735,31,7
19N00125,A,0.247,18,0.647,25,8
19N00125,B,0.247,21,0.539,29,8
19N00125,C,0.224,20,0.732,24,7
19N00126,A,0.317,19,0.755,20,7
19N00126,B,0.297,19,0.71,27,8
19N00126,C,0.25,20,0.788,33,7
19N00127,A,0.528,25,0.654,28,7
19N00127,B,0.345,18,0.796,30,8
19N00127,C,0.275,17,0.73,35,8
19N00128,A,0.32,23,0.759,28,8
19N00128,B,0.366,20,0.529,27,8
19N00128,C,0.374,19,0.623,35,7
19N00129,A,0.315,20,0.683,24,8
19N00129,B,0.366,19,0.79,30,7
19N00129,C,0.305,17,0.796,28,7
19N00130,A,0.279,21,0.619,29,7
19N00130,B,0.268,18,0.51,41,8
19N00130,C,0.326,18,0.685,31,8
19N00131,A,0.245,18,0.588,25,8
19N00131,B,0.384,18,0.842,23,8
19N00131,C,0.313,20,0.869,29,8
19N00132,A,0.309,21,0.66,25,8
19N00132,B,0.394,18,0.797,27,8
19N00132,C,0.383,18,0.78,26,8
19N00133,A,0.203,16,0.605,24,8
19N00133,B,0.382,15,0.92,27,7
19N00133,C,0.342,17,0.813,30,7
19N00134,A,0.267,20,0.786,27,7
19N00134,B,0.285,20,0.753,24,7
19N00134,C,0.329,20,0.827,28,8
19N00135,A,0.417,20,0.715,30,7
19N00135,B,0.344,23,1.206,27,7
19N00135,C,0.389,22,0.794,24,7
19N00136,A,0.244,18,0.87,22,7
19N00136,B,0.432,21,0.684,36,8
19N00136,C,0.327,24,0.791,29,8
19N00137,A,0.346,17,0.737,31,8
19N00137,B,0.411,18,0.741,27,8
19N00137,C,0.403,18,0.856,29,8
19N00138,A,0.344,18,0.731,25,8
19N00138,B,0.353,19,0.949,26,7
19N00138,C,0.379,18,0.843,28,7
19N00139,A,0.294,20,0.928,30,6
19N00139,B,0.351,29,0.919,24,6
19N00139,C,0.423,26,0.63,34,7
19N00140,A,0.348,21,0.883,26,8
19N00140,B,0.345,21,1.128,25,7
19N00140,C,0.376,17,0.938,30,7
19N00141,A,0.437,22,0.872,24,7
19N00141,B,0.455,20,1.041,29,7
19N00141,C,0.442,21,0.883,29,6
19N00142,A,0.295,22,0.79,30,7
19N00142,B,0.313,20,0.89,30,7
19N00142,C,0.35,20,1.108,26,7
19N00143,A,0.333,17,0.611,26,8
19N00143,B,0.45,32,0.827,30,7
19N00143,C,0.436,19,0.757,28,7
23N00421,A,0.242,21,0.496,25,10
23N00421,B,0.291,22,0.58,37,9
23N00421,C,0.27,20,0.713,37,9
23N00422,A,0.311,18,0.898,25,7
23N00422,B,0.392,18,0.836,34,7
23N00422,C,0.291,20,0.735,32,7
23N00423,A,0.29,19,0.645,36,8
23N00423,B,0.368,19,0.732,28,7
23N00423,C,0.329,19,0.644,27,7
23N00424,A,0.318,18,0.774,21,6
23N00424,B,0.405,21,0.869,24,6
23N00424,C,0.326,20,0.87,30,7
23N00425,A,0.307,24,0.685,33,7
23N00425,B,0.378,25,0.733,38,7
23N00425,C,0.357,20,0.684,33,6
23N00426,A,0.579,16,0.974,25,6
23N00426,B,0.528,14,0.765,25,6
23N00426,C,0.436,16,1.23,20,6
23N00427,A,0.47,15,0.69,36,7
23N00427,B,0.495,15,0.412,41,6
23N00427,C,0.431,16,0.859,22,6
23N00428,A,0.335,21,0.849,20,7
23N00428,B,0.38,18,0.833,19,7
23N00428,C,0.375,17,0.843,28,7
23N00429,A,0.323,21,0.995,27,7
23N00429,B,0.371,21,0.755,30,7
23N00429,C,0.31,21,0.819,31,7
23N00430,A,0.35,18,0.831,32,7
23N00430,B,0.491,21,0.636,26,7
23N00430,C,0.318,22,1.087,27,6
23N00431,A,0.42,20,0.732,34,7
23N00431,B,0.323,18,0.565,28,8
23N00431,C,0.419,23,0.652,33,8
23N00432,A,0.382,15,0.687,30,6
23N00432,B,0.457,17,0.589,36,6
23N00432,C,0.373,18,0.833,25,7
23N00433,A,0.364,23,0.825,28,7
23N00433,B,0.426,21,0.88,27,7
23N00433,C,0.221,22,0.867,24,7
23N00434,A,0.514,15,0.867,15,5
23N00434,B,0.511,15,0.678,25,5
23N00434,C,0.547,15,0.407,22,6
23N00435,A,0.314,18,0.802,26,8
23N00435,B,0.415,21,0.949,27,8
23N00435,C,0.36,23,0.817,30,7
23N00436,A,0.409,24,0.712,25,7
23N00436,B,0.354,19,0.517,41,7
