"","BGP_ID","band_number","site_code","sex","age","wing_chord","tarsus","tail_length","nare_length","bristle_length","beak_depth","beak_width","culmen_end_length","pen_length","pen_num","plum_length","plum_number","nodes"
"1","23N00513","2821-42617","WMTN","UNK",4,95,19.96,55,1.92,2.51,5.72,6.07,10.27,0.517333333333333,13.6666666666667,0.996333333333333,22.3333333333333,6
"2","23N00514","2821-42618","WMTN","UNK",4,97,19.2,58,1.57,2.14,6.63,6.1,10.32,0.431333333333333,15.6666666666667,0.864,27,6.66666666666667
"3","23N00515","2821-42619","WMTN","UNK",4,93,19.84,58,1.83,2.24,6.41,5.73,10.51,0.393,15.3333333333333,0.871333333333333,29.6666666666667,6.66666666666667
"4","23N00516","2821-42620","WMTN","M",2,102,20.11,56,1.53,2.02,7.97,5.93,11.12,0.302,24,0.814,27.3333333333333,6
"5","23N00517","2821-42621","WMTN","F",2,98,20.1,54,1.71,2.12,7.08,6.03,12.07,NA,NA,NA,NA,NA
"6","23N00518","2821-42622","WMTN","M",2,95,19.53,55,1.74,2.19,7.13,5.75,11.98,0.342333333333333,22,0.860333333333333,31.3333333333333,8
"7","23N00519","2821-42623","WMTN","UNK",4,99,19.98,53,1.14,2.85,5.84,5.72,9.79,0.423,15.6666666666667,0.972333333333333,23,6.66666666666667
"8","23N00520","2821-42624","WMTN","F",2,93,19.71,54,1.76,1.97,6.84,6.31,12.05,0.290666666666667,23.6666666666667,0.695,28,7.66666666666667
"9","23N00521","2821-42625","WMTN","F",2,93,19.53,56,1.9,2.03,6.53,5.56,11.87,0.375333333333333,17.3333333333333,0.794,27,8
"10","23N00522","2821-42626","WMTN","F",2,93,19.63,56,1.6,2.02,7.07,5.67,11.93,0.347666666666667,21.3333333333333,0.723666666666667,27.6666666666667,8
"11","23N00523","2821-42627","WMTN","M",3,99,19.43,59,1.47,1.92,6.1,5.76,11.28,0.326333333333333,21,0.745,28.6666666666667,8
"12","23N00524","2821-42628","WMTN","M",2,98,19.2,56,1.79,1.99,6.25,5.72,11.39,0.264666666666667,24.3333333333333,0.731333333333333,35,8
"13","23N00525","2821-42629","WMTN","UNK",4,96,20.3,57,2.06,2.29,5.82,5.78,10.26,0.427666666666667,16.3333333333333,0.898,29.6666666666667,7
"14","23N00526","2821-42630","WMTN","M",2,98,19.96,56,1.76,2.03,6.77,6.63,10.46,0.377,18.3333333333333,0.73,32,8.66666666666667
"15","23N00527","2821-42631","WMTN","M",3,103,19.62,59,1.59,2.21,6.62,5.95,11.18,0.363666666666667,21.3333333333333,0.816333333333333,32,7.33333333333333
"16","23N00528","2821-42632","WMTN","M",2,101,19.68,57,1.91,2.31,6.08,5.87,10.72,0.348,21.6666666666667,0.801333333333333,29,7.66666666666667
"17","23N00529","2821-42633","WMTN","F",2,95,19.62,56,1.57,2.06,7.01,6.29,11.74,0.3,23,0.715,29.6666666666667,8
"18","23N00530","2821-42634","WMTN","M",2,103,19.69,58,1.69,2.01,6.3,6.12,11.59,0.371666666666667,22.6666666666667,0.764666666666667,32,8
"19","23N00533","2821-42635","WMTN","M",3,106,20.29,60,1.65,1.75,6.28,6.1,12.02,0.305333333333333,24.3333333333333,0.862333333333333,29,7.66666666666667
"20","23N00534","2821-42636","WMTN","M",2,97,19.3,57,1.95,2.1,6,5.53,11.27,0.343333333333333,22.6666666666667,0.752,30,7.33333333333333
"21","23N00536","2821-42637","WMTN","F",2,94,18.86,53,1.6,2.06,6.56,5.33,11.02,0.328666666666667,19.6666666666667,0.826666666666667,28,7.33333333333333
"22","23N00537","2821-42638","WMTN","F",2,97,19.86,55,1.73,2.03,6.11,5.78,11.6,0.343,22.3333333333333,0.900666666666667,31,7.33333333333333
"23","23N00538","2821-42639","WMTN","UNK",4,96,19.52,58,1.87,2.85,6.1,5.9,10.28,0.312666666666667,23.6666666666667,0.802333333333333,33.6666666666667,7.66666666666667
"24","23N00539","2821-42640","WMTN","M",3,99,20.22,57,1.44,2.02,6.54,5.5,11.7,0.391666666666667,21.3333333333333,0.775,29.3333333333333,7.66666666666667
"25","23N00540","2821-42641","WMTN","F",2,98,19.75,55,1.4,2.33,6.15,5.03,10.71,0.411333333333333,15.6666666666667,0.926,22,6.33333333333333
"26","23N00541","2821-42642","WMTN","F",2,100,21.08,58,1.87,2.39,6.67,6.41,11.64,0.361666666666667,18.6666666666667,0.948666666666667,27,7.66666666666667
"27","23N00542","2821-42643","WMTN","M",2,99,19.07,58,1.9,2.36,6.87,5.74,11.85,0.427666666666667,15.3333333333333,0.923,24.3333333333333,6.33333333333333
"28","23N00543","2821-42644","WMTN","UNK",4,97,20.04,58,1.93,2.1,5.8,5.7,9.63,0.384333333333333,15.6666666666667,1.03566666666667,23.6666666666667,6
"29","23N00544","2821-42645","WMTN","M",3,103,20.14,59,1.26,2.11,5.56,5.51,11.52,0.331333333333333,20.6666666666667,0.757,27,8
"30","23N00545","2821-42646","WMTN","UNK",4,96,19.63,57,1.8,2.06,5.66,5.16,10.82,0.367333333333333,20.6666666666667,0.798666666666667,30,8
"31","23N00546","2821-42647","WMTN","UNK",4,97,19.95,60,1.55,2.38,5.69,5.13,10.02,0.378666666666667,23.3333333333333,0.86,28.3333333333333,7.33333333333333
