BGP_ID,band_number,recap,site,site_code,lat,long,month,day,year,collected_by,feather,blood,sequenced,sex,age,weight,wing_chord,tarsus,tarsus_hair_full,tarsus_hair_jointdown,bill_color,tail_length,nare_length,bristle_length,bristle_per,beak_depth,beak_width,nare_end_length,culmen_end_length
23N00513,2821-42617,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,UNK,4,22.22,95,19.96,13.36,4.3,2,55,1.92,2.51,95,5.72,6.07,7.54,10.27
23N00514,2821-42618,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,UNK,4,23.6,97,19.2,11.11,5.98,2,58,1.57,2.14,100,6.63,6.1,7.84,10.32
23N00515,2821-42619,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,UNK,4,23.11,93,19.84,11.51,4.99,2,58,1.83,2.24,95,6.41,5.73,7.57,10.51
23N00516,2821-42620,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,2,24.45,102,20.11,14.82,5.73,6,56,1.53,2.02,85,7.97,5.93,8.27,11.12
23N00517,2821-42621,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,N,N,Y,F,2,24.69,98,20.1,14.98,5.14,6,54,1.71,2.12,90,7.08,6.03,8.23,12.07
23N00518,2821-42622,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,2,25.1,95,19.53,16.9,6.43,6,55,1.74,2.19,90,7.13,5.75,7.82,11.98
23N00519,2821-42623,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,UNK,4,21.44,99,19.98,8.98,3.49,3,53,1.14,2.85,100,5.84,5.72,6.59,9.79
23N00520,2821-42624,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,F,2,23.63,93,19.71,13.79,5.63,4,54,1.76,1.97,8,6.84,6.31,8.53,12.05
23N00521,2821-42625,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,F,2,21.54,93,19.53,15.69,5.91,6,56,1.9,2.03,90,6.53,5.56,8.23,11.87
23N00522,2821-42626,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,F,2,23.06,93,19.63,14.75,5.27,6,56,1.6,2.02,95,7.07,5.67,8.8,11.93
23N00523,2821-42627,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,3,23.14,99,19.43,16.79,6.14,6,59,1.47,1.92,75,6.1,5.76,8.15,11.28
23N00524,2821-42628,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,2,24.33,98,19.2,14.94,5.26,4,56,1.79,1.99,90,6.25,5.72,8.7,11.39
23N00525,2821-42629,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,UNK,4,26.36,96,20.3,9.8,4.34,3,57,2.06,2.29,100,5.82,5.78,6.66,10.26
23N00526,2821-42630,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,2,25.16,98,19.96,14.08,5.17,6,56,1.76,2.03,75,6.77,6.63,8.34,10.46
23N00527,2821-42631,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,3,25.8,103,19.62,15.66,5.41,6,59,1.59,2.21,85,6.62,5.95,8.3,11.18
23N00528,2821-42632,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,2,23.89,101,19.68,14.33,5.05,6,57,1.91,2.31,100,6.08,5.87,8.71,10.72
23N00529,2821-42633,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,F,2,24.19,95,19.62,12.9,4.85,4,56,1.57,2.06,80,7.01,6.29,8.27,11.74
23N00530,2821-42634,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,Y,Y,Y,M,2,24.64,103,19.69,15.24,6.5,6,58,1.69,2.01,85,6.3,6.12,9.15,11.59
23N00533,2821-42635,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,N,N,Y,M,3,22.49,106,20.29,16.55,5.95,6,60,1.65,1.75,60,6.28,6.1,9.35,12.02
23N00534,2821-42636,N,WhiteMtn,WMTN,NA,NA,7,15,2022,Tim Brown,N,N,Y,M,2,20.28,97,19.3,10.08,4.11,6,57,1.95,2.1,80,6,5.53,8.06,11.27
23N00536,2821-42637,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,F,2,21.22,94,18.86,14.09,5.09,6,53,1.6,2.06,95,6.56,5.33,8.05,11.02
23N00537,2821-42638,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,F,2,24.15,97,19.86,14.32,4.37,6,55,1.73,2.03,60,6.11,5.78,9.27,11.6
23N00538,2821-42639,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,UNK,4,22.3,96,19.52,10.4,4.27,4,58,1.87,2.85,100,6.1,5.9,7.06,10.28
23N00539,2821-42640,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,M,3,23.79,99,20.22,14.8,4.69,6,57,1.44,2.02,90,6.54,5.5,8.49,11.7
23N00540,2821-42641,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,F,2,23.66,98,19.75,11.97,3.97,6,55,1.4,2.33,80,6.15,5.03,8.26,10.71
23N00541,2821-42642,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,F,2,26.44,100,21.08,15.77,5.71,4,58,1.87,2.39,75,6.67,6.41,8.74,11.64
23N00542,2821-42643,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,M,2,22.63,99,19.07,13.63,4.62,6,58,1.9,2.36,90,6.87,5.74,8.61,11.85
23N00543,2821-42644,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,UNK,4,25,97,20.04,13.94,4.07,3,58,1.93,2.1,100,5.8,5.7,6.85,9.63
23N00544,2821-42645,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,M,3,23.4,103,20.14,15.21,5.02,6,59,1.26,2.11,85,5.56,5.51,9.04,11.52
23N00545,2821-42646,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,UNK,4,22,96,19.63,8.5,3.86,4,57,1.8,2.06,95,5.66,5.16,7.63,10.82
23N00546,2821-42647,N,WhiteMtn,WMTN,NA,NA,7,16,2022,Tim Brown,Y,Y,Y,UNK,4,23.73,97,19.95,8.2,4.14,3,60,1.55,2.38,100,5.69,5.13,8,10.02
23N00547,2821-42648,N,Piutepass,PIPA,NA,NA,7,19,2022,Tim Brown,Y,Y,Y,F,2,NA,97,19.67,13.69,4.79,4,56,1.82,2.16,90,5.65,5.66,8.78,11.87
23N00548,2821-42649,N,Piutepass,PIPA,NA,NA,7,19,2022,Tim Brown,Y,Y,Y,M,3,25.59,102,19.77,15.38,4.77,6,58,1.95,2.22,95,5.92,5.93,8.26,10.95
23N00549,2821-42650,N,Piutepass,PIPA,NA,NA,7,20,2022,Tim Brown,Y,Y,Y,M,2,28.6,102,19.69,13.01,4.18,6,59,1.58,2.06,95,6.08,5.56,9.64,11.98
